Source,Target,Type,Weight,Friendly/Hostile,Pages
110,148,undirected,1,Friendly,NA
110,149,undirected,2,Friendly,NA
110,150,undirected,3,Friendly,NA
113,114,undirected,1,Friendly,NA
113,129,undirected,3,Friendly,NA
113,175,undirected,1,Hostile,NA
115,116,undirected,1,Friendly,NA
119,120,undirected,1,Friendly,NA
124,125,undirected,1,Friendly,NA
126,128,undirected,1,Friendly,NA
126,127,undirected,1,Friendly,NA
129,172,undirected,1,Friendly,NA
130,131,undirected,3,Friendly,NA
130,134,undirected,1,Friendly,NA
130,133,undirected,1,Hostile,NA
130,135,undirected,2,Friendly,NA
130,137,undirected,1,Friendly,NA
130,139,undirected,2,Friendly,NA
130,140,undirected,1,Hostile,NA
130,132,undirected,1,Hostile,NA
130,141,undirected,1,Hostile,NA
130,142,undirected,1,Friendly,NA
130,145,undirected,1,Friendly,NA
130,162,undirected,1,Friendly,NA
130,164,undirected,1,Friendly,NA
130,161,undirected,1,Friendly,NA
131,133,undirected,2,Friendly,NA
131,134,undirected,1,Friendly,NA
131,138,undirected,1,Friendly,NA
131,139,undirected,1,Friendly,NA
131,146,undirected,1,Friendly,NA
131,135,undirected,1,Friendly,NA
132,141,undirected,1,Friendly,NA
132,140,undirected,1,Friendly,NA
132,133,undirected,1,Friendly,NA
133,141,undirected,1,Friendly,NA
133,140,undirected,1,Friendly,NA
133,139,undirected,1,Friendly,NA
135,136,undirected,1,Friendly,NA
135,137,undirected,1,Hostile,NA
135,139,undirected,2,Friendly,NA
135,153,undirected,1,Hostile,NA
135,145,undirected,1,Friendly,NA
135,142,undirected,1,Friendly,NA
135,161,undirected,1,Friendly,NA
135,162,undirected,1,Friendly,NA
135,164,undirected,1,Friendly,NA
138,155,undirected,1,Friendly,NA
138,156,undirected,1,Hostile,NA
139,142,undirected,2,Friendly,NA
139,144,undirected,1,Friendly,NA
139,145,undirected,2,Friendly,NA
139,153,undirected,1,Hostile,NA
139,161,undirected,1,Friendly,NA
139,164,undirected,1,Friendly,NA
139,162,undirected,1,Friendly,NA
139,165,undirected,1,Friendly,NA
140,141,undirected,1,Friendly,NA
142,145,undirected,2,Friendly,NA
142,144,undirected,1,Friendly,NA
142,162,undirected,1,Friendly,NA
142,164,undirected,1,Friendly,NA
142,161,undirected,1,Friendly,NA
142,165,undirected,1,Friendly,NA
144,145,undirected,1,Friendly,NA
145,161,undirected,1,Friendly,NA
145,164,undirected,1,Friendly,NA
145,162,undirected,1,Friendly,NA
146,147,undirected,1,Friendly,NA
149,150,undirected,2,Friendly,NA
155,156,undirected,1,Hostile,NA
161,164,undirected,1,Friendly,NA
161,162,undirected,1,Friendly,NA
162,163,undirected,1,Friendly,NA
162,164,undirected,1,Friendly,NA
164,174,undirected,1,Friendly,NA
164,173,undirected,1,Friendly,NA
167,168,undirected,1,Friendly,NA
173,174,undirected,1,Friendly,NA
